Titel,Kapitel,Unterkapitel,Schlagworte,Laufzeit,Beschreibung,vimeo,youtube - deutsch,youtube - english
Normieren,5,4.2,none,07:26,Sehr viele Diagramm zeigen normierte oder doppelt normierte Häufigkeiten. Daher muss es leicht fallen diese Diagramme selbst schnell zu produzieren und zu verstehen. Im ersten Schritt lernen wir daher Konzentrationen zu normieren und doppelt zu normieren.,https://vimeo.com/327293503,,
Die verschiedenen Arten von Diagrammen – und wie man aussagekräftige Diagramme macht,5,4.3,none,34:03,"Ich glaube es ist ganz interessant zu sehen, wie man man ein aussagekräftiges Diagramm ma-chen könnte. Und während es auch recht interessant ist, einmal zu unterscheiden welche ver-schiedenen Diagramm-Typen es gibt, ist das zugegebenermaßen ein teils etwas trockenerer Stoff. Es macht aber klar, was genau man eigentlich in einem Diagramm darstellt, wenn man seine Daten plottet.
Vor allem aber: ich zeige nur die gängigsten, und damit nur eine kleine Auswahl möglicher Dia-gramme. Es gibt einen ganzen Zoo an Diagrammen, und es kann sehr erfrischend sein, sich die einmal anzuschauen, und für die eigenen Ergebnisse einmal eine andere Darstellung auszuwäh-len. Lass Dich von folgender Webseite einfach mal etwas inspirieren:  matplotlib Gallery
Die insgesamt 7  Video für dieses Kapitel findest Du auf metbase.org, dort auf Resources, dann evtl. Deutsch auswählen, und dann entsprechend dem Bild rechts alle Videos unter ›Plot Types‹.
In der Box rechts oberhalb der Videos finden sich auch die Instant Reviews & Quiz.",,,
Wie man aussagekräftige Tabellen macht,5,4.4,none,13:13,"Natürlich gibt es auch eine Reihe Regeln und good practices wie aussagekräftige und übersicht-liche Tabellen erstellt werden, und die hier einmal vorgestellt werden. Dazu gehören zB: Tabel-len-Überschrift & -Unterschrift, Formatierung, Nachkommastellen von Zahlen, Ausrichtung, etc.",https://vimeo.com/560530864,,
REM – und dessen Alleinstellungsmerkmale,6,1.1,none,06:59,"Nachdem wir nun praktisch alles über die Mikrosonde wissen, ist uns auch bekannt, dass diese in erster Näherung ein REM mit WDS ist. So ganz stimmt das aber eben nicht. Das REM ist sehr viel mehr ein Mikroskop als es die Mikrosonde ist, die das aufgrund der geometrischen Anforderun-gen des Rowlandkreises für das WDS nicht sein kann. Frei von diesen geometrischen Zwängen hat das REM tatsächlich mehr Raum, in dem sich die Probe für beste mikroskopische Bedingun-gen in alle Richtungen bewegen kann.",https://vimeo.com/562677540,,
Electron Back-Scatter Diffraction (EBSD) mit dem REM,6,1.2,none,06:24,"REM können als zusätzlichen Detektor noch EBSD haben. Dieser kann in einer Mikrosonde nicht verbaut werden, da die Probe dazu in einem 70º Winkel auf der Probenbühne angebracht, oder die Bühne um diesen Winkel gekippt werden muss. Bei EBSD werden Elektronen am Kristallgit-ter charakteristisch gebeugt und gelangen anschließend auf den Detektor. Dort wird ein Beu-gungsmuster registriert, das charakteristisch für ein bestimmtes Mineral, bzw. die räumliche Lage eines Minerals ist. Es wird also möglich zu sehen, welche Orientierung ein Mineral in einer Probe hat. Das ist für Gefügeuntersuchungen unheimlich nützlich und aussagekräftig. Die Probe muss dazu allerdings speziell präpariert werden, um eine sehr ebene Oberfläche zu erhalten.
Zu EBSD gibt es einen Kurs in MWp Min2, bzw. MWp Min3 in ›Spezielle Methoden der Mikroana-lytik‹, welcher derzeit als Blockkurs von Jolien Linckens angeboten wird.",https://vimeo.com/562683500,,
Die Interaktion von Röntgenstrahlung mit Materie: das Funktionsprinzip der RFA,6,2.1,none,07:41,"Die Röntgen-Fluoreszenz Analyse (RFA) unterscheidet sich von der Mikrosonde darin, dass die Interaktion der Probe, mit Röntgenstrahlen geschieht, und nicht mit Elektronen. Fast alles nach der Interaktion ist zumindest dem Prinzip nach identisch zur Mikrosonde, also wie Elemente delektiert und quantifiziert werden. Röntgenstrahlen haben z.B. den Vorteil keinen Bremsberg zu erzeugen und zerstörungsfreier zu sein. Röntgenstrahlen können nur schwer fokussiert wer-den, weshalb RFA meist dazu genutzt wird das Gesamtgestein zu analysieren. Dazu werden meist Schmelztabletten oder Pulverpresslinge hergestellt. Die Nachweisgrenzen gehen bis in den unteren Gew-ppm Bereich.",https://vimeo.com/562690644,,
Die 3 verschiedenen Arten von RFA,6,2.2,none,06:22,"Die RFA gibt es für die Geowissenschaften meist in 3 verschiedenen Ausführungen von groß bis klein, mit unterschiedlichen Einsatzgebieten, und verschieden guten Ergebnissen.",https://vimeo.com/562731796,,
Einbau einer Probe in die EPMA,7,1,none,02:03,"Hier nur eine Kurzversion, wie eine Probe eingebaut wird, um die Idee davon zu vermitteln. Auf OLAT gibt es ein ausführliches Video, das alles Schritte vollständig erklärt. Das hier dient nur der Illustration.",https://vimeo.com/564018011,,
Proben-Navigation mit dem ›Specimen Navigator‹,7,2,none,03:10,"Die Probe wird zunächst eingescannt und hat dann den Schliff übersichtlich auf dem Mikroson-den-Bildschirm. Dieses Scan-Bild lohnt sich auch für die eigene Dokumentation zu kopieren. Außerdem können 3 Koordinaten auf dem Probenhalter eingelsen werden, um dann mit dem Specimen Navigator schnell per Doppelklick auf allen eingeschleusten Proben zu navigieren. Das ist flugs und komfortabel.",https://vimeo.com/563666753,,
Erstellen von BSE & SE Bildern,7,3,none,08:49,"Das PC-SEM Fenster der Mikrosonden-Software ist funktional identisch zu einer SEM-Software. Im ersten Schritt wollen wir die nutzen, um eine Beispiel-Probe auf SE- und BSE-Bildern gut dar-zustellen. Aus guten SE- und BSE-Bildern lassen sich schon einige belastbare Aussagen zu bei-spielsweise Texture, Gefüge, aber auch Mineralogie machen.",https://vimeo.com/563662307,,
Übersichtsanalysen mit dem EDS,7,4,none,12:55,"Das EDS wird ebenfalls über das PC-SEM Fenster gesteuert. Damit sollen im nächsten Schritt qualitative Analysen gemacht werden, um zu schauen wie die Phasen zusammen gesetzt sind, sodass kein Element für spätere WDS-Messung übersehen wird. Aber auch um schnell die Mine-ralogie im Schliff zu überblicken. Und das nicht nur mit Punkt-Analysen, sondern auch mit ge-schwinden Linien-Scans und Element-Maps.",https://vimeo.com/563659446,,
Standardisierung für WDS-Messungen,7,5,none,20:36,"Wenn wir für WDS standardisieren, durchlaufen wir eine Menge Einzelschritte. Das Spektrome-ter besteht aus zwei Teilen, und so bestimmen wir zunächst über einen Peak-Search die genaue Position des Analysator-Kristalls. Im zweiten Schritt optimieren wir den Detektor, und zwar (i) die Hochspannung (HV) des Detektor-Drahtes im Gas-Zähler. Die sollte immer bei etwas 1700±30 V liegen. Dann schauen wir unsv die Impulshöhenverteilung an, und ob wir eventuell ein Fenster setzen müssen um z.B. höhere Ordnungen anderer Elemente zu eliminieren. Schließlich messen wir für die eigentliche Kalibration 3 Punkte auf dem Standard mit bekannter Zusam-mensetzung.",https://vimeo.com/563654726,,
Punktmessungen mit dem WDS,7,6,none,03:47,"Danach kann es mit den quantitativen Punktmessungen mit WDS los gehen. Natürlich können auch Linien-Profile gelegt werden, aber so detailliert muss es gar nicht werden. Linien oder auch Element-Maps mit WDS zu programmieren ist kinderleicht in wenigen Minuten gelernt. Die Software hat da in den letzten Jahren spürbare Sprünge zu mehr intuitiver Bedienbarkeit ge-macht – wenn auch nicht in allen Bereichen.",https://vimeo.com/563665136,,
Bilder und Videos von und aus der Mikrosonde,7,7,none,08:27,"Zum Abschluss gibt es noch mal einen Blick ins Labor, diesmal in voller Kenntnis was es da im Detail zu sehen gibt, und zu was die einzelnen Dinge da sind.",https://vimeo.com/564963383,,
