done,Term,Term (german),Synonym,Synonym (german),Keywords,Keywords (german),Explanation,Explanation (german),Additional Information,Related References,Wikipedia-Link,Image/Animation,Acknowledgement/Guest Contributer,
yes,terrestrial age,Terrestrisches Alter,,,chronology,Altersskala,"The residence time of a meteorite after its fall on the Earth's surface. Cosmic rays produce radionuclides in a meteoroid while it is travelling through from its parent body to Earth. Once the meteorite landed on Earth it is shielded from cosmic rays and radionuclides are no longer produced. The decay of the nuclides produced by comic rays can then be used to determine for how long the meteorite resides on Earth, which is its terrestrial ages. Possible radionuclides that can be used are: 10Be, 14C, 26Al, 36Cl, 39Ar, 41Ca, 53Mn, 59Ni, 60Fe, 81Kr. Meteorites in hot deserts survive for typically up to 50 ka, but in rare cases even 250 ka. Terrestrial ages of antarctic meteorites are up to 2 Ma.","The residence time of a meteorite after its fall on the Earth's surface. Cosmic rays produce radionuclides in a meteoroid while it is travelling through from its parent body to Earth. Once the meteorite landed on Earth it is shielded from cosmic rays and radionuclides are no longer produced. The decay of the nuclides produced by comic rays can then be used to determine for how long the meteorite resides on Earth, which is its terrestrial ages. Possible radionuclides that can be used are: 10Be, 14C, 26Al, 36Cl, 39Ar, 41Ca, 53Mn, 59Ni, 60Fe, 81Kr. Meteorites in hot deserts survive for typically up to 50 ka, but in rare cases even 250 ka. Terrestrial ages of antarctic meteorites are up to 2 Ma.",,None,None,,,
yes,refractory elements,Refraktäre Elemente,refractories,,classification,Klassifikation,Elements with a 50% condensation temperature above 1400 K.,Elements with a 50% condensation temperature above 1400 K.,,None,None,,,
yes,highly volatile elements,Hochvolatile Elemente,highly volatiles,,classification,Klassifikation,Elements with a 50% condensation temperature below 640 K.,Elements with a 50% condensation temperature below 640 K.,,None,None,,,
yes,main elements,Hauptelement,,,classification,Klassifikation,Elements with a 50% condensation temperature between 1230 and 1350 K.,Elements with a 50% condensation temperature between 1230 and 1350 K.,,None,None,,,
yes,condensation,Kondensation,,,process,Prozess,"If a hot gas of e.g., solar composition cools, the elements will continously condense into phases. A highly simplified condensation sequence at canonical gas pressurs of around 10 to 100 Pa are Ca,Al-rich oxides –> Mg-silicates, –> FeNi metal –> sulphide –> OH-bearing sillicates.","If a hot gas of e.g., solar composition cools, the elements will continously condense into phases. A highly simplified condensation sequence at canonical gas pressurs of around 10 to 100 Pa are Ca,Al-rich oxides –> Mg-silicates, –> FeNi metal –> sulphide –> OH-bearing sillicates.",,None,None,,,
yes,equilibrium condensation,Gleichgewichtskondensation,,,process,Prozess,"The case when a condensed phase during progressive cooling completely re-equilibrates with the surrounding gas, thereby either changing the composition of the initial phase, or eventually producing a new phsae. ","The case when a condensed phase during progressive cooling completely re-equilibrates with the surrounding gas, thereby either changing the composition of the initial phase, or eventually producing a new phsae. ",,None,None,,,
yes,fractional condensation,Fraktionierte Kondensation,,,process,Prozess,"The case when a condensed phase during progressive cooling does not fully re-equilibrates with the surrounding gas. Hence, the initial phase will fully or partially survive during cooling, thereby represting the degree of re-equilibration or fraction of remaining phases that formed at various temperature steps, respectively","The case when a condensed phase during progressive cooling does not fully re-equilibrates with the surrounding gas. Hence, the initial phase will fully or partially survive during cooling, thereby represting the degree of re-equilibration or fraction of remaining phases that formed at various temperature steps, respectively",,None,None,,,
yes,evaporation,Evaporation,,Verdunstung,process,Prozess,"A liquid, but depending on surrounding gas pressure, also a soild will become gaseous (=evaporate) when the temperature increases (or pressure drops). ","A liquid, but depending on surrounding gas pressure, also a soild will become gaseous (=evaporate) when the temperature increases (or pressure drops). ",,None,None,,,
yes,Isochron,Isochrone,Isochron Plot,Isochronenplot,chronology,Altersskala,"Components with the same age and from the same rock fall on a single line in an isochron plot. An isochron plot has the radioactive isotope on the x-axis (e.g., 87Rb) and the radiogenic daughter on the y-axis (e.g., 87Sr). Both isotopes are divided by the same normalising isotope (e.g., 86Sr) for analytical reasons. A component looses 87Rb and gains 87Sr during the decay of 87Rb, thereby moving on a decay line with a negative slope. Components with various Rb/Sr ratios will start at different points on the x-axis. Each component has its own decay line, but the endpoint will always represent the same age. Connecting these endpoints of the decay lines gives the isochron. Componets may be minerals, variably magnetic, or any other materials of different characteristics.","Components with the same age and from the same rock fall on a single line in an isochron plot. An isochron plot has the radioactive isotope on the x-axis (e.g., 87Rb) and the radiogenic daughter on the y-axis (e.g., 87Sr). Both isotopes are divided by the same normalising isotope (e.g., 86Sr) for analytical reasons. A component looses 87Rb and gains 87Sr during the decay of 87Rb, thereby moving on a decay line with a negative slope. Components with various Rb/Sr ratios will start at different points on the x-axis. Each component has its own decay line, but the endpoint will always represent the same age. Connecting these endpoints of the decay lines gives the isochron. Componets may be minerals, variably magnetic, or any other materials of different characteristics.",,None,None,,,
yes,isotope fractionation,Isotopenfraktionierung,,,process,Prozess,This describes the observation that the isotope composition is different to a standard composition.,This describes the observation that the isotope composition is different to a standard composition.,,None,WikiIsotopFractionation,,,
yes,kinetic fractionation,Kinetsche Fraktionierung,,,process,Prozess,"When a chemial element moves from one place to another, e.g., when evaporating from a liquid into a gas phase, the lighter isotopes of the element will move more easily from one phase to the other, i.e., more of the lighter isotope will move to the gas phase than of the heavier isotope. All such isotope fractionation involving movement driven by energy differences is kinetic fractionation. In the example, the high energy of the liquid is movingthe isotopes into the gas phase.","When a chemial element moves from one place to another, e.g., when evaporating from a liquid into a gas phase, the lighter isotopes of the element will move more easily from one phase to the other, i.e., more of the lighter isotope will move to the gas phase than of the heavier isotope. All such isotope fractionation involving movement driven by energy differences is kinetic fractionation. In the example, the high energy of the liquid is movingthe isotopes into the gas phase.",,None,WikiIsotopFractionation,,,
yes,equilibrium fractionation,Gleichgewichtsfraktionierung,,,process,Prozess,"At the same temperature and pressure, i.e., at one energy and entropy level, various phases, e.g., minerals, will incorporate isotopes of the same element at different ratios. This means, one mineral will incorporate more of the light isotopoe than the other, i.e., this mineral will have a lighter isotope composition than the other. This kind of isotope fractionation between phases at the same conditions is equilibrium fractionation.","At the same temperature and pressure, i.e., at one energy and entropy level, various phases, e.g., minerals, will incorporate isotopes of the same element at different ratios. This means, one mineral will incorporate more of the light isotopoe than the other, i.e., this mineral will have a lighter isotope composition than the other. This kind of isotope fractionation between phases at the same conditions is equilibrium fractionation.",,None,WikiIsotopFractionation,,,
yes,Dust/Gas ratio,Staub/ Gas Verhältnis,Gas/Dust ratio,Gas/ Staub Verhälnis,parameter,Parameter,"A dust/gas ratio of 1 assumes a cold cloud of solar composition that contains solids (›dust‹) holding a fraction of about 30% oxygen, and gas that contains basically all H and C. If dust is added to this region, so is oxygen. If this cold cloud is then heated and the dust evaporates, so does the oxygen, thereby enriching the gas in oxygen (i.e., increased O/H and O/C), i.e, increasing the oxygen fugacity of the gas. The dust/gas ratios of elements basically exclusively concentrated in the dust (e.g., Mg, Si, Fe, Na) are even more enriched.","A dust/gas ratio of 1 assumes a cold cloud of solar composition that contains solids (›dust‹) holding a fraction of about 30% oxygen, and gas that contains basically all H and C. If dust is added to this region, so is oxygen. If this cold cloud is then heated and the dust evaporates, so does the oxygen, thereby enriching the gas in oxygen (i.e., increased O/H and O/C), i.e, increasing the oxygen fugacity of the gas. The dust/gas ratios of elements basically exclusively concentrated in the dust (e.g., Mg, Si, Fe, Na) are even more enriched.",,"Wood,1967;Rubin+,1988",None,,,
yes,mmsn,mmsn,"minimum mass solar nebula, mmss","Minimalgewicht des solaren Nebels, mmss",acronym,Abkürzung,"This is the protoplanetary disk with the minimum mass to build our solar system, i.e, the summative mass of all known bodies in our solar system.","This is the protoplanetary disk with the minimum mass to build our solar system, i.e, the summative mass of all known bodies in our solar system.",,None,None,,,
yes,snow line,Schneegrenze,,,,,"An imaginary line dividing the solar system into an inner, hotter region where water is evaporated, and an outer, colder region, where water is condensed. The location of the snow line depends on the ambient conditions and in particular in the early solar system moved within comparatively short time intervals.","An imaginary line dividing the solar system into an inner, hotter region where water is evaporated, and an outer, colder region, where water is condensed. The location of the snow line depends on the ambient conditions and in particular in the early solar system moved within comparatively short time intervals.",,None,None,,,
yes,dead zone,Totes Zone,,,,,An annular region in the protoplanetary disk with basically no viscosity. This prevents further infall of disk material to the sun.,An annular region in the protoplanetary disk with basically no viscosity. This prevents further infall of disk material to the sun.,,None,None,,,
yes,MRI,MRI,magnetorotational instability,Magnetorotationsinstabilität,,,The electromagnetic interactions between ionized species in the protoplanetary disk.,The electromagnetic interactions between ionized species in the protoplanetary disk.,,None,None,,,
yes,photophoresis,Photophorese,,Fotophorese,process,Prozess,"Small particles, such as present in chondrites, can be start to migrate when illuminated by the Sun, in response to one side of the particle becoming hotter than the other.","Small particles, such as present in chondrites, can be start to migrate when illuminated by the Sun, in response to one side of the particle becoming hotter than the other.",,None,WikiPhotophoresis,,,
yes,compound chondrule,Compound Chondre,,,component,Bestandteil,Two or more chondrules that stick together are called compound chondrule. The number of compound chondrules in a chondrite might allow to determine the chondrule density in the chondrule forming region.,Two or more chondrules that stick together are called compound chondrule. The number of compound chondrules in a chondrite might allow to determine the chondrule density in the chondrule forming region.,,None,None,,,
yes,cluster chondrite,Cluster Chondrit,,,"structure, petrography","Struktur, Petrologie",Chondrites with almost no matrix and chondrules appearing to plastically indent each other are called cluster chondrites. These are rare types of chondrites.,Chondrites with almost no matrix and chondrules appearing to plastically indent each other are called cluster chondrites. These are rare types of chondrites.,,None,None,,,
yes,petrologic type,Petrologischer Typ,,,"classification, alteration","Klassifikation, Alteration","The rocks of a parent body can be altered due to fluids and/or temperature. This alteration is classified with ther petrologic type. Types 1 and 2 experienced fluid alteration. Type 3 are unaltered, i.e., most primitive. Above type 3 to 7 experienced thermal metamorphosis.","The rocks of a parent body can be altered due to fluids and/or temperature. This alteration is classified with ther petrologic type. Types 1 and 2 experienced fluid alteration. Type 3 are unaltered, i.e., most primitive. Above type 3 to 7 experienced thermal metamorphosis.",,None,WikiChondrite,,,
yes,meteorite class,Meteoriten Klasse,,,"classification, meteorite","Klassifikation, Meteorit","There are 3 meteorite classes: carbonaceous, ordinary and enstatite.","There are 3 meteorite classes: carbonaceous, ordinary and enstatite.",,None,None,,,
yes,meteorite clan,Meteoriten Familie,clan,Familie,"classification, meteorite","Klassifikation, Meteorit","Some meteorite groups appear related and are summarised under the clan umbrella, e.g., CR clan, Acapulcoites, but also Mars and Vesta.","Some meteorite groups appear related and are summarised under the clan umbrella, e.g., CR clan, Acapulcoites, but also Mars and Vesta.",,None,None,,,
yes,meteorite group,Meteoriten Gruppe,group,Gruppe,"classification, meteorite","Klassifikation, Meteorit","A low level classification element, comprising e.g., CR, LL, EH, R, Acapulcoite, Shergotite, Eucrite, IIAB, IVA.","A low level classification element, comprising e.g., CR, LL, EH, R, Acapulcoite, Shergotite, Eucrite, IIAB, IVA.",,None,None,,,
yes,weathering degree,Verwitterungsgrad,,,"classification, alteration","Klassifikation, Alteration","Meteorites on Earth are affected by weathering. Two schemes are used to indicate the severity of terrestrial weathering, on from W1 to W6, mainly used for meteorites not from Antarctica, and A to E, mainly used for meteorite from Antarctica.","Meteorites on Earth are affected by weathering. Two schemes are used to indicate the severity of terrestrial weathering, on from W1 to W6, mainly used for meteorites not from Antarctica, and A to E, mainly used for meteorite from Antarctica.",,"Wlotzka,1993;Grossman,1994",WikiMeteorite,,,
yes,shock class,Schockklassen,shock type,Schocktyp,"classification, alteration","Klassifikation, Alteration","Meteorites start their journey to Earth when planetary bodies (asteroid-asteroid, asteroid-planet) collide, and smaller pieces are ejected from one of the bodies. Such high-energy collisions can induce shock metamorphism in the ejected meteoroids. The intensity of the shock is measured on a shock scale from S1 to S6, plus shock melting.","Meteorites start their journey to Earth when planetary bodies (asteroid-asteroid, asteroid-planet) collide, and smaller pieces are ejected from one of the bodies. Such high-energy collisions can induce shock metamorphism in the ejected meteoroids. The intensity of the shock is measured on a shock scale from S1 to S6, plus shock melting.",,"Stöffler+,1991",WikiMeteorite,,,
yes,porphyritic pyroxene,Porphyrischer Pyroxen,PP,PP,"classification, chondrule","Klassifikation, Chondre","A type of chondrule in which in a 2D section mainly large grains (porphyric) of pyroxene are visible. Porphyritic pyroxene (PP) chondrules are rare, typically around 5-10 % of all chondrules. This might, however, still be too high, as the PP appearance might only be true for this particular section through the chondrule, and the entire chondrule might be of another type (e.g., POP).","A type of chondrule in which in a 2D section mainly large grains (porphyric) of pyroxene are visible. Porphyritic pyroxene (PP) chondrules are rare, typically around 5-10 % of all chondrules. This might, however, still be too high, as the PP appearance might only be true for this particular section through the chondrule, and the entire chondrule might be of another type (e.g., POP).",,None,WikiChondrule,,,
yes,porphyritic olivine,Porphyrisches Olivin,PO,PO,"classification, chondrule","Klassifikation, Chondre","A type of chondrule in which in a 2D section mainly large grains (porphyric) of olivine are visible. Porphyritic olivine (PO) chondrules are rare, typically around 5-10 % of all chondrules. This might, however, still be too high, as the PO appearance might only be true for this particular section through the chondrule, and the entire chondrule might be of another type (e.g., POP).","A type of chondrule in which in a 2D section mainly large grains (porphyric) of olivine are visible. Porphyritic olivine (PO) chondrules are rare, typically around 5-10 % of all chondrules. This might, however, still be too high, as the PO appearance might only be true for this particular section through the chondrule, and the entire chondrule might be of another type (e.g., POP).",,None,WikiChondrule,,,
yes,porphyritic olivine-pyroxene,Porphyrischer Olivin-Pyroxen ,POP,POP,"classification, chondrule","Klassifikation, Chondre","A type of chondrule in which in a 2D section mainly large grains (porphyric) of olivine and pyroxene are visible. Porphyritic olivine-pyroxene (POP) chondrules are common, typically around 80-90 % of all chondrules.","A type of chondrule in which in a 2D section mainly large grains (porphyric) of olivine and pyroxene are visible. Porphyritic olivine-pyroxene (POP) chondrules are common, typically around 80-90 % of all chondrules.",,None,WikiChondrule,,,
yes,radial pyroxene,Radialstrahliger Pyroxen,RP,RP,"classification, chondrule","Klassifikation, Chondre","A type of chondrule in which pyroxene fibres extend from a typically single origin radially throughout the entire chondrule. The single origin often is a tiny grain, and the entire structure is a sub-solidus structure, in which a seed grain triggerd instant crystallisation, resulting in the observed, high surface texture of the RP chondrule.","A type of chondrule in which pyroxene fibres extend from a typically single origin radially throughout the entire chondrule. The single origin often is a tiny grain, and the entire structure is a sub-solidus structure, in which a seed grain triggerd instant crystallisation, resulting in the observed, high surface texture of the RP chondrule.",,None,WikiChondrule,,,
yes,barred olivine,balkenförmiger Olivin,BO,BO,"classification, chondrule","Klassifikation, Chondre","A type of chondrule in which parallel olivin bars dominate the interior of the chondrule. Often, BO chondrules also have a rim consisting of olivine. This is a quench structure, i.e., the chondrule melt quickly solidified, thereby producing crystals with a large surface to store the energy.","A type of chondrule in which parallel olivin bars dominate the interior of the chondrule. Often, BO chondrules also have a rim consisting of olivine. This is a quench structure, i.e., the chondrule melt quickly solidified, thereby producing crystals with a large surface to store the energy.",,None,WikiChondrule,,,
yes,cryptocrystalline,Kryptokristallin,CC,CC,"classification, chondrule","Klassifikation, Chondre","A type of chondrule that is almost to completely homogeneous with tiny, often sub-µm crystals, so the chondrule is barely crystalline, and not glassy.","A type of chondrule that is almost to completely homogeneous with tiny, often sub-µm crystals, so the chondrule is barely crystalline, and not glassy.",,None,WikiChondrule,,,
yes,granular olivine,Granularer Olivin,GO,GO,"classification, chondrule","Klassifikation, Chondre","A type of chondrule with a granular structure, mainly consisting of olivine.","A type of chondrule with a granular structure, mainly consisting of olivine.",,None,WikiChondrule,,,
yes,microporphyritic olivine,Mikroporphyrischer Olivin,MPO,MPO,"classification, chondrule","Klassifikation, Chondre",A type of chondrule with primarily small olivine phenocrysts.,A type of chondrule with primarily small olivine phenocrysts.,,None,None,,,
yes,chondrule type,Chondren Typ,,,"classification, chondrule","Klassifikation, Chondre","Chondrules are classified in various ways, but mainly on their structure, their Fe,Mg,Si-composition, or their CL activity.","Chondrules are classified in various ways, but mainly on their structure, their Fe,Mg,Si-composition, or their CL activity.",,None,None,,,
yes,skeletal olivine,skelettartiger Olivin,SO,SO,"classification, chondrule","Klassifikation, Chondre",A type of chondrule with primarily olivine that has a skeletal appearance. This chondrule type mainly occurs in CH and CB chondrites.,A type of chondrule with primarily olivine that has a skeletal appearance. This chondrule type mainly occurs in CH and CB chondrites.,,None,None,,,
yes,glass,Glas,,,,,"A solid in which the atoms mostly have no order. A glass is amorphous, the opposite would be crystalline.","A solid in which the atoms mostly have no order. A glass is amorphous, the opposite would be crystalline.",,None,None,,,
yes,mineralogical zonation,Minerolgische Zonierung,,,"petrography, petrology, structure","Petrographie, Petrologie, Struktur","A chondrule with an olivine core and a low-Ca pyroxene mantle. These are the main type in CC and Rumuruti chondrites (80-90%), and abundant in OC and EC (40-50%).","A chondrule with an olivine core and a low-Ca pyroxene mantle. These are the main type in CC and Rumuruti chondrites (80-90%), and abundant in OC and EC (40-50%).",,"Friend+,2016;Barsoch+,2019",None,,,
yes,crack,Riss,,,"structure, petrography","Struktur, Petrographie","A structural element that can penetrate across various components, i.e., the same crack may penetrate through chondrule, matrix, and additional components. A crack is open, i.e., unfilled. Cracks developed after or during meteorite components accreted. A likely origin is as a response to an impact.","A structural element that can penetrate across various components, i.e., the same crack may penetrate through chondrule, matrix, and additional components. A crack is open, i.e., unfilled. Cracks developed after or during meteorite components accreted. A likely origin is as a response to an impact.",,None,None,,,
yes,vein,Ader,,,"structure, petrography","Struktur, Petrographie","A structural element that can penetrate across various components, i.e., the same vein may penetrate through chondrule, matrix, and additional components. A vein is filled with often Fe-rich oxides and hydroxides. Veins most likely filled cracks that were produced during e.g., impacts.","A structural element that can penetrate across various components, i.e., the same vein may penetrate through chondrule, matrix, and additional components. A vein is filled with often Fe-rich oxides and hydroxides. Veins most likely filled cracks that were produced during e.g., impacts.",,None,None,,,
yes,porosity,Porosität,,,"structure, petrography","Struktur, Petrographie","A structural element, but basically the part in which there is no material. Porosities are the empty space in-between grains and components. In particular the accreted matrix produces empty voids in-between the grains. But also cracks contribute to a meteorite overall porosity. Even chondrules are not completely material, a significant number of chondrules has voids inside, maybe inherited from voids in the precursor aggregate, parent body metamorphism, or volume reduction during crystallisation.","A structural element, but basically the part in which there is no material. Porosities are the empty space in-between grains and components. In particular the accreted matrix produces empty voids in-between the grains. But also cracks contribute to a meteorite overall porosity. Even chondrules are not completely material, a significant number of chondrules has voids inside, maybe inherited from voids in the precursor aggregate, parent body metamorphism, or volume reduction during crystallisation.",,"Lewis+,2018;Macke+,2011",None,,,
yes,permeability,Permeabilität,,,"structure, petrography","Struktur, Petrographie","The ability for a fluid to travel through a meteorite. Even if a meteorite is porous, a fluid cannot travel through the meteorite, if individual voids are not connected. Permeability is important to understand fluid-assisted metamorphism on a parent body.","The ability for a fluid to travel through a meteorite. Even if a meteorite is porous, a fluid cannot travel through the meteorite, if individual voids are not connected. Permeability is important to understand fluid-assisted metamorphism on a parent body.",,None,None,,,
yes,fall,Fall,,,,,"If the fall of a meteorite is observed, and shortly after (a few years may still be regarded 'short') found, it is called a fall. Falls are proportionally more often not in hot or cold deserts, as in case of observation, there is also a high probability to then find the meteorite in the field using triangualation.","If the fall of a meteorite is observed, and shortly after (a few years may still be regarded 'short') found, it is called a fall. Falls are proportionally more often not in hot or cold deserts, as in case of observation, there is also a high probability to then find the meteorite in the field using triangualation.",,None,None,,,
yes,find,Fund,,,,,Any meteorite that is found and which actual fall has not been observed is called a find. Meteorites from hot and cold deserts are typically finds.,Any meteorite that is found and which actual fall has not been observed is called a find. Meteorites from hot and cold deserts are typically finds.,,None,None,,,
yes,IDP,IDP,interplanetary dust particles,Interplanetare Staubpartikel,acronym,,"These originate from various sources, e.g., asteroids, comets, but are also likely interstellar material, GEMS. IDPs are typically collected in the stratosphere (20–25 km) using high-altitude aircrafts. Their bulk compositions are similar to CI and CM chondrites and subdivided into morphological groups: CP (chondritic porous) and CS (chondritic smooth). These groups are mineralogically different. Sub-types exist, e.g., CF (chondritic filled) are a sub-type of CP and IDPs generally have a large variety of types and hybrid types. Their sizes are mostly between 5-15 µm.","These originate from various sources, e.g., asteroids, comets, but are also likely interstellar material, GEMS. IDPs are typically collected in the stratosphere (20–25 km) using high-altitude aircrafts. Their bulk compositions are similar to CI and CM chondrites and subdivided into morphological groups: CP (chondritic porous) and CS (chondritic smooth). These groups are mineralogically different. Sub-types exist, e.g., CF (chondritic filled) are a sub-type of CP and IDPs generally have a large variety of types and hybrid types. Their sizes are mostly between 5-15 µm.",,"Bradley,2007",None,,,
yes,stardust,Meteoritenstaub,,,,,"A grain that formed in a star and was not re-processed in the ISM by e.g., evaporation and re-condensation.","A grain that formed in a star and was not re-processed in the ISM by e.g., evaporation and re-condensation.",,None,None,,,
yes,ICP-MS,ICP-MS,inductively-coupled-plasma mass-spectrometer,Massenspektrometrie mit induktiv gekoppeltem Plasma,"acronym, analytical","Abkürzung, Analytisch","This instrument allows element and isotope compositional analyses. The sample is introduced into the plasma with a carrier gas, which often is Argon. The sample becomes ionised and is accelerated into a magnetic field, in which the various elements or isotopes are separated by their mass. The introduction is often from a solution, but can also come in-situ from a laser-ablation system.","This instrument allows element and isotope compositional analyses. The sample is introduced into the plasma with a carrier gas, which often is Argon. The sample becomes ionised and is accelerated into a magnetic field, in which the various elements or isotopes are separated by their mass. The introduction is often from a solution, but can also come in-situ from a laser-ablation system.",,None,None,,,
,LA,LA,Laser Abaltion,Laserablation,"acronym, analytical","Abkürzung, Analytisch",,,,None,None,,,
,collision cell,Kollisionszelle,,,analytical,Analytisch,,,,None,None,,,
yes,XRF,XRF,X-ray fluorescence,Röntgenfluoreszenz,"acronym, analytical","Abkürzung, Analytisch",This instrument allows element compositional anlyses of bulk samples. The samples are prepared as either glass beads or powder pellets.,This instrument allows element compositional anlyses of bulk samples. The samples are prepared as either glass beads or powder pellets.,,None,None,,,
yes,database,Datenbank,,,,,A curated storage for data. ,A curated storage for data. ,,None,None,,,
yes,data-archive,Datenarchiv,,,,,An uncurated storage for data.,An uncurated storage for data.,,None,None,,,
yes,MetBase,MetBase,,,database,Datenbank,"The largest and oldest database for meteorite data. It contains bulk chondrite and component (chondrules, matrix, clasts) data, as well as a large catalogue of literature.","The largest and oldest database for meteorite data. It contains bulk chondrite and component (chondrules, matrix, clasts) data, as well as a large catalogue of literature.",,MetBase,None,,,
yes,ChondriteDB,ChondriteDB,,,database,Datenbank,A database with chondrule and matrix data. ChondriteDB is also part of MetBase.,A database with chondrule and matrix data. ChondriteDB is also part of MetBase.,,MetBase,None,,,
yes,modal abundance,Modale Häufigkeit,,,,,"This is the space occupied by a certain component, and typically given in relative terms. For example: 70 vol% chondrules and 20 vol% matrix.","This is the space occupied by a certain component, and typically given in relative terms. For example: 70 vol% chondrules and 20 vol% matrix.",,None,None,,,
yes,modal recombination,Modale Rekombination,,,"analytical, technique, equation","Analytisch, Technik, Gleichung","A technique to determine 2D bulk compositions in thin or thick sections from the combined measurement of mineral and/or component modal abundance and the composition of the minerals and/or components. The 2D bulk composition is then calculated by multiplying the respective mineral modal abudances with the respective e.g., element concentrations and the resspective densities. It is important to consider possible sectioning effects, i.e., the 2D modal abundances might not be always representative for their 3D modal abundances.","A technique to determine 2D bulk compositions in thin or thick sections from the combined measurement of mineral and/or component modal abundance and the composition of the minerals and/or components. The 2D bulk composition is then calculated by multiplying the respective mineral modal abudances with the respective e.g., element concentrations and the resspective densities. It is important to consider possible sectioning effects, i.e., the 2D modal abundances might not be always representative for their 3D modal abundances.",,None,None,,,
yes,broad beam,Breites Strahlenbündel,,,,,A technique to determine 2D bulk compositions in thin or thick sections using an electron microprobe or scanning electron microscope. The electron beam is defocused to a larger size of several to up to tens of µm. Everthing wihtin in this large electron spot is then measured.,A technique to determine 2D bulk compositions in thin or thick sections using an electron microprobe or scanning electron microscope. The electron beam is defocused to a larger size of several to up to tens of µm. Everthing wihtin in this large electron spot is then measured.,,None,None,,,
yes,wire loop,Drahtschleife,,,"analytical, technique, experimental","Analytisch, Technik, Experimentell","An experimental technique. A sample is placed within a metal loop (the wire loop) and placed into a vertical furnace, where the sample is heated and/or molten.","An experimental technique. A sample is placed within a metal loop (the wire loop) and placed into a vertical furnace, where the sample is heated and/or molten.",,None,None,,,
yes,precision,Genauigkeit,,,analytical,Analytisch,"If a measurement is repeated many times and always gives the basically same result, it has a high precision. However, this does not mean the result must be correct, only highly reproducible.","If a measurement is repeated many times and always gives the basically same result, it has a high precision. However, this does not mean the result must be correct, only highly reproducible.",,None,None,,,
yes,accuracy,Richtigkeit,,,analytical,Analytisch,"If a measurement is repeated many times and the average is close to the true value, it has a high accurracy. However, this does not mean the indivudual results must be close together, these could have a large variation.","If a measurement is repeated many times and the average is close to the true value, it has a high accurracy. However, this does not mean the indivudual results must be close together, these could have a large variation.",,None,None,,,
yes,fugacity,Flüchtigkeit,fO2,Fugazität,,,"The partial pressure of a gas species is called fugacity. Gas species are e.g., oxygen, sulfur, but also molecules such as H2 or CO.","The partial pressure of a gas species is called fugacity. Gas species are e.g., oxygen, sulfur, but also molecules such as H2 or CO.",,None,None,,,
yes,nebula,Nebel,nebular,solarer Nebel,,,The environment in which meteorite components form. Basically a specific environment of the protoplanetary disk consisting of gas and dust. ,The environment in which meteorite components form. Basically a specific environment of the protoplanetary disk consisting of gas and dust. ,,None,None,,,
yes,protoplanetary disk,Protoplanetare Scheibe,,,,,"The circumstellar disk around the nascent Sun consisting of gas and dust. It lasted for a few million years and is the region of primitive chondrite component formation, and accretion of the first planetesimals.","The circumstellar disk around the nascent Sun consisting of gas and dust. It lasted for a few million years and is the region of primitive chondrite component formation, and accretion of the first planetesimals.",,None,WikiProtoplanetrayDisk,,,
yes,chondrule formation,Chondrenbildung,,,,,"Chondrules formed in brief (minutes to hours) high-temperature (above liquidus, i.e., up to >2000 K) processes of mostly unknown origin. Chondrules most likely formed in different processes, mostly by mechanisms in the protoplanetary disk, but in case of CH and CB chondrules also by collisional mechanisms.","Chondrules formed in brief (minutes to hours) high-temperature (above liquidus, i.e., up to >2000 K) processes of mostly unknown origin. Chondrules most likely formed in different processes, mostly by mechanisms in the protoplanetary disk, but in case of CH and CB chondrules also by collisional mechanisms.",,None,WikiChondrule,,,
yes,impact melt,Impaktschmelzen,,,,,"The impact of a body on another, e.g., during collisions of asteroids might cause melting which then solidifies as impact melt.","The impact of a body on another, e.g., during collisions of asteroids might cause melting which then solidifies as impact melt.",,None,None,,,
,fluid-assisted alteration,Fluid gesteuerte Alteration,,,,,,,,None,None,,,
yes,petrography,Petrographie,petrographic,petrographisch,,,"The general, physical structure of a meteorite, e.g., the size, distribution, form of objects in a meteorite.","The general, physical structure of a meteorite, e.g., the size, distribution, form of objects in a meteorite.",,None,None,,,
yes,petrology,Petrologie,petrologic,petrologisch,,,"The general, chemical composition and mineralogy of a meteorite and its compoents.","The general, chemical composition and mineralogy of a meteorite and its compoents.",,None,None,,,
,texture,Textur,,,petrography,petrographisch,,,,None,None,,,
,structure,Struktur,,,petrography,petrographisch,,,,None,None,,,
yes,anomaly,Abweichung,,Anomalie,,,Any deviation from typical values. A typical elemental anomaly is the Eu-anomaly. Typical isotopic anomalies are observed in presolar grains with in part massive deviations from the typical solar values.,Any deviation from typical values. A typical elemental anomaly is the Eu-anomaly. Typical isotopic anomalies are observed in presolar grains with in part massive deviations from the typical solar values.,,None,None,,,
